uuid,country,city,type,subtype,street,speed,confidence,x,y
9cde03c7-a2aa-4dfa-8081-1ecb1aa87fb0,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Quilicura,0,5,-70.682666,-33.381421
59a9c0ac-6da0-4e5e-86b5-b71a3f625441,CI,Huechuraba,JAM,JAM_HEAVY_TRAFFIC,Av. El Salto,0,0,-70.624004,-33.391595
be8af41c-ca4f-4641-80ec-388c0b0b8cd9,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,0,-70.674989,-33.391009
8a2170fb-8278-46dc-a46f-ae90f712e739,CI,Las Condes,POLICE,,Av. Apoquindo,0,0,-70.570435,-33.409573
59ae8c8d-1e72-4e4c-9ade-ccf72360f873,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,0,-70.675194,-33.390777
3c3c66fd-e9f8-4c54-8cb3-da8157f49334,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,5,-70.674506,-33.391795
289e955c-3155-4bee-a6db-bf568ab2a130,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,3,-70.674236,-33.392276
4be7c2da-9619-4b9f-9c15-c2d1c16d1842,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,0,-70.675776,-33.390051
1a95254a-8681-41b0-98ae-9899120f3043,CI,Providencia,JAM,JAM_STAND_STILL_TRAFFIC,Av. El Cerro,0,0,-70.615306,-33.41546
eefb2120-950f-46fc-916b-12a4d762ef7a,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Fermín Vivaceta,0,5,-70.680232,-33.384766
90f2e705-6938-4c5c-b331-cbfc95a1d4ae,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,5,-70.674781,-33.391343
1e262827-edb9-4c9e-bb1a-322d68836134,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,5,-70.672368,-33.395135
27d9564c-aa0f-45ae-b057-3d1179df8388,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,5,-70.671402,-33.396267
18535260-4b92-494e-967d-5bf9cef416c9,CI,Independencia,POLICE,,Av. Independencia,0,0,-70.656603,-33.417488
5e2e44aa-c5b4-4319-b51f-246d7c8a953d,CI,Conchalí,ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,0,5,-70.671848,-33.395803
